text,label
Fake news content 829: Aliens spotted in the sky!,1
Fake news content 876: Aliens spotted in the sky!,1
Real news content 762: President addresses the nation.,0
Real news content 560: President addresses the nation.,0
Real news content 254: President addresses the nation.,0
Real news content 630: President addresses the nation.,0
Fake news content 348: Aliens spotted in the sky!,1
Fake news content 361: Aliens spotted in the sky!,1
Fake news content 327: Aliens spotted in the sky!,1
Fake news content 270: Aliens spotted in the sky!,1
Fake news content 746: Aliens spotted in the sky!,1
Fake news content 918: Aliens spotted in the sky!,1
Real news content 60: President addresses the nation.,0
Real news content 72: President addresses the nation.,0
Real news content 54: President addresses the nation.,0
Real news content 664: President addresses the nation.,0
Fake news content 793: Aliens spotted in the sky!,1
Real news content 753: President addresses the nation.,0
Fake news content 710: Aliens spotted in the sky!,1
Real news content 628: President addresses the nation.,0
Fake news content 847: Aliens spotted in the sky!,1
Real news content 88: President addresses the nation.,0
Fake news content 418: Aliens spotted in the sky!,1
Fake news content 14: Aliens spotted in the sky!,1
Real news content 257: President addresses the nation.,0
Fake news content 958: Aliens spotted in the sky!,1
Real news content 937: President addresses the nation.,0
Fake news content 87: Aliens spotted in the sky!,1
Real news content 471: President addresses the nation.,0
Real news content 997: President addresses the nation.,0
Fake news content 269: Aliens spotted in the sky!,1
Real news content 919: President addresses the nation.,0
Real news content 629: President addresses the nation.,0
Real news content 776: President addresses the nation.,0
Fake news content 856: Aliens spotted in the sky!,1
Fake news content 906: Aliens spotted in the sky!,1
Real news content 784: President addresses the nation.,0
Real news content 481: President addresses the nation.,0
Real news content 86: President addresses the nation.,0
Real news content 340: President addresses the nation.,0
Real news content 274: President addresses the nation.,0
Real news content 631: President addresses the nation.,0
Fake news content 13: Aliens spotted in the sky!,1
Fake news content 761: Aliens spotted in the sky!,1
Real news content 7: President addresses the nation.,0
Real news content 927: President addresses the nation.,0
Real news content 43: President addresses the nation.,0
Fake news content 625: Aliens spotted in the sky!,1
Fake news content 610: Aliens spotted in the sky!,1
Fake news content 687: Aliens spotted in the sky!,1
Fake news content 131: Aliens spotted in the sky!,1
Fake news content 730: Aliens spotted in the sky!,1
Real news content 95: President addresses the nation.,0
Real news content 457: President addresses the nation.,0
Fake news content 196: Aliens spotted in the sky!,1
Real news content 875: President addresses the nation.,0
Fake news content 419: Aliens spotted in the sky!,1
Fake news content 870: Aliens spotted in the sky!,1
Real news content 264: President addresses the nation.,0
Real news content 952: President addresses the nation.,0
Fake news content 461: Aliens spotted in the sky!,1
Real news content 44: President addresses the nation.,0
Fake news content 163: Aliens spotted in the sky!,1
Real news content 394: President addresses the nation.,0
Real news content 464: President addresses the nation.,0
Fake news content 118: Aliens spotted in the sky!,1
Fake news content 290: Aliens spotted in the sky!,1
Real news content 647: President addresses the nation.,0
Real news content 866: President addresses the nation.,0
Fake news content 132: Aliens spotted in the sky!,1
Fake news content 19: Aliens spotted in the sky!,1
Fake news content 95: Aliens spotted in the sky!,1
Fake news content 524: Aliens spotted in the sky!,1
Real news content 453: President addresses the nation.,0
Fake news content 204: Aliens spotted in the sky!,1
Fake news content 137: Aliens spotted in the sky!,1
Real news content 806: President addresses the nation.,0
Real news content 128: President addresses the nation.,0
Fake news content 852: Aliens spotted in the sky!,1
Real news content 25: President addresses the nation.,0
Fake news content 21: Aliens spotted in the sky!,1
Real news content 730: President addresses the nation.,0
Fake news content 338: Aliens spotted in the sky!,1
Fake news content 647: Aliens spotted in the sky!,1
Real news content 344: President addresses the nation.,0
Fake news content 593: Aliens spotted in the sky!,1
Real news content 842: President addresses the nation.,0
Fake news content 890: Aliens spotted in the sky!,1
Real news content 563: President addresses the nation.,0
Fake news content 184: Aliens spotted in the sky!,1
Real news content 982: President addresses the nation.,0
Fake news content 556: Aliens spotted in the sky!,1
Fake news content 363: Aliens spotted in the sky!,1
Fake news content 709: Aliens spotted in the sky!,1
Real news content 317: President addresses the nation.,0
Fake news content 64: Aliens spotted in the sky!,1
Fake news content 767: Aliens spotted in the sky!,1
Fake news content 838: Aliens spotted in the sky!,1
Real news content 452: President addresses the nation.,0
Fake news content 360: Aliens spotted in the sky!,1
Real news content 752: President addresses the nation.,0
Real news content 985: President addresses the nation.,0
Real news content 705: President addresses the nation.,0
Fake news content 9: Aliens spotted in the sky!,1
Real news content 114: President addresses the nation.,0
Real news content 854: President addresses the nation.,0
Real news content 243: President addresses the nation.,0
Real news content 195: President addresses the nation.,0
Real news content 78: President addresses the nation.,0
Fake news content 973: Aliens spotted in the sky!,1
Fake news content 523: Aliens spotted in the sky!,1
Fake news content 478: Aliens spotted in the sky!,1
Fake news content 826: Aliens spotted in the sky!,1
Real news content 103: President addresses the nation.,0
Fake news content 44: Aliens spotted in the sky!,1
Real news content 53: President addresses the nation.,0
Fake news content 821: Aliens spotted in the sky!,1
Real news content 438: President addresses the nation.,0
Real news content 334: President addresses the nation.,0
Real news content 105: President addresses the nation.,0
Fake news content 498: Aliens spotted in the sky!,1
Fake news content 552: Aliens spotted in the sky!,1
Real news content 48: President addresses the nation.,0
Fake news content 915: Aliens spotted in the sky!,1
Real news content 851: President addresses the nation.,0
Fake news content 934: Aliens spotted in the sky!,1
Real news content 898: President addresses the nation.,0
Fake news content 209: Aliens spotted in the sky!,1
Fake news content 601: Aliens spotted in the sky!,1
Fake news content 466: Aliens spotted in the sky!,1
Real news content 792: President addresses the nation.,0
Fake news content 170: Aliens spotted in the sky!,1
Fake news content 548: Aliens spotted in the sky!,1
Real news content 798: President addresses the nation.,0
Fake news content 648: Aliens spotted in the sky!,1
Real news content 302: President addresses the nation.,0
Real news content 827: President addresses the nation.,0
Real news content 285: President addresses the nation.,0
Real news content 666: President addresses the nation.,0
Real news content 246: President addresses the nation.,0
Real news content 839: President addresses the nation.,0
Real news content 435: President addresses the nation.,0
Real news content 803: President addresses the nation.,0
Real news content 559: President addresses the nation.,0
Fake news content 970: Aliens spotted in the sky!,1
Fake news content 580: Aliens spotted in the sky!,1
Real news content 186: President addresses the nation.,0
Real news content 608: President addresses the nation.,0
Fake news content 321: Aliens spotted in the sky!,1
Fake news content 248: Aliens spotted in the sky!,1
Real news content 171: President addresses the nation.,0
Fake news content 653: Aliens spotted in the sky!,1
Real news content 693: President addresses the nation.,0
Fake news content 835: Aliens spotted in the sky!,1
Real news content 595: President addresses the nation.,0
Fake news content 145: Aliens spotted in the sky!,1
Fake news content 895: Aliens spotted in the sky!,1
Real news content 535: President addresses the nation.,0
Fake news content 404: Aliens spotted in the sky!,1
Real news content 765: President addresses the nation.,0
Real news content 276: President addresses the nation.,0
Fake news content 655: Aliens spotted in the sky!,1
Fake news content 308: Aliens spotted in the sky!,1
Real news content 431: President addresses the nation.,0
Fake news content 450: Aliens spotted in the sky!,1
Fake news content 757: Aliens spotted in the sky!,1
Real news content 286: President addresses the nation.,0
Fake news content 664: Aliens spotted in the sky!,1
Fake news content 857: Aliens spotted in the sky!,1
Real news content 382: President addresses the nation.,0
Fake news content 612: Aliens spotted in the sky!,1
Fake news content 75: Aliens spotted in the sky!,1
Fake news content 922: Aliens spotted in the sky!,1
Fake news content 468: Aliens spotted in the sky!,1
